subject,source_repo,source_path,verification_point,certainty,canonical_owner,estate_role,disposition,transform_required,links_that_must_survive,blocker,verifier,contradicted_by,contradiction_resolution,refuted,stale_on_copy,only_source_is_hub_summary,certainty_overclaimed,fact,origin_lane,survives,killed_by,canonical_state_source
"AGENT_ORIENTATION.md -- seat-era task router, superseded by CLAUDE.md",fleet-manager,docs/AGENT_ORIENTATION.md,"06dbbfe@2026-09-04; judge ls docs/AGENT_ORIENTATION.md -> present, 6451 bytes @2026-09-04",MEASURED,hub,archive/,archive_only,False,,a live kit config still routes cold sessions to a banner-demoted doc; the estate's freshly generated substrate config must not repeat this,enumerator full read of docs/AGENT_ORIENTATION.md; judge confirmed the file exists and is referenced by substrate.config.json readpath_docs,substrate.config.json readpath_docs still lists AGENT_ORIENTATION.md as a boot read,resolved: the doc's own banner demotes it; the config entry is stale and the estate config is regenerated anyway (kit changes K1-K5),False,True,False,,"AGENT_ORIENTATION.md's banner says its manager-seat routes (RESUME, worker prompts, control bus, heartbeat ownership) are historical and must not be used to boot or choose work, redirecting to README.md and .claude/CLAUDE.md; its inline contract summaries are separately flagged not-current. JUDGE NOTE: the file DOES exist (docs/AGENT_ORIENTATION.md, 6451 bytes) and is still named in substrate.config.json's readpath_docs, which resolves relative to docs_root -- see the killed substrate.config.json item.",area:run1-four-areas,yes,,docs/current-state.md
AgentContextPack index (project.index.json),fleet-manager,project.index.json,sha7d99f7d@2026-08-29,MEASURED,hub,archive/,archive_only,False,,"if estate uses the AgentContextPack feature at all, its areas must be authored fresh against estate's own tree","enumerator read project.index.json@7d99f7d, full 60 lines; grepped structure.md and kit-prerequisites-and-migration.md for 'project.index'/'contextpack' -- no match",,none,False,True,False,,"project.index.json defines two AgentContextPack areas, 'records-custody' and 'control-bus', both entirely about fleet-manager's retired seat-era apparatus (roster generator, control/inbox.md ORDER relay). Neither the migration manifest nor structure.md's tool-required-root list names it, so there is no declared destination for it in estate.",area:run1-four-areas,yes,,docs/current-state.md
CAPABILITIES.md's dated append log and seat-era mirrored-lane findings,fleet-manager,docs/CAPABILITIES.md,14ea77e@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator grepped the full '##' section structure across 2265 lines and read representative entries @14ea77e,,none,False,True,False,,"Roughly 1,600 of CAPABILITIES.md's 2,265 lines are a dated, PR-numbered append log of one-off findings plus a 'Mirrored lane findings' section carrying notes mirrored 2026-07-14 from nine mostly-archived repositories' own seat-era capability docs -- evidence about specific past probes, not standing fact.",area:run1-four-areas,yes,,docs/current-state.md
"EAP final-week (2026-07-09 to 07-16) dated trackers, audits and logs -- 15 files",fleet-manager,docs/eap-story.md,"06dbbfe@2026-09-04 -- 15 files, full or header+body reads",MEASURED,hub,archive/,archive_only,False,,"one source_path stands for 15 files; the archive manifest (D-0033) must enumerate all fifteen, not just this representative",enumerator reads of all 15 listed files under docs/,,none,False,True,False,,"eap-audit-collection.md, eap-final-email-draft-2026-07-14.md, eap-final-night-worklists-2026-07-13.md, eap-final-recon-2026-07-14.md, eap-owner-checklist-2026-07-14.md, eap-retrospective.md, eap-story.md, idea-routing-2026-07-18.md, merge-queue-2026-07-09.md, pr-landing-audit-2026-07-16.md, pre-reboot-review-2026-07-15.md, project-recreation-runbook.md, fleet-inconsistencies-2026-07-13.md, fleet-triage.md and dispatch-log.md are point-in-time trackers from the closed EAP program. Each self-labels historical, records a tally already trued up in-file, or is superseded by the later fleet-account-2026-07-26.md synthesis. None carries current routing, state, or an open owner ask not already tracked in owner-queue.md.",area:run1-four-areas,yes,,docs/current-state.md
ESTATE.md's archive-vs-delete reasoning and GitHub code-search coverage investigation,fleet-manager,docs/ESTATE.md,14ea77e@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read docs/ESTATE.md in full @14ea77e,,none,False,True,False,,"Roughly half of ESTATE.md's ~300 lines is dated investigative narrative -- archiving-vs-deleting reversibility, the measured finding that GitHub's code-search index covers only 7 of 26 repositories, and the correction that produced to a dependency-sweep claim. Evidence about a specific 2026-08-22/23 investigation, not a day-one routing fact.",area:run1-four-areas,yes,,docs/current-state.md
Estate execution packets and the legibility-and-intent plan (2026-08-26),fleet-manager,docs/planning/2026-08-26-estate-execution-packets.md; docs/planning/2026-08-26-legibility-and-intent-plan.md,"caa6cd2, headers read",MEASURED,hub,archive/,archive_only,False,docs/planning/2026-08-30-fresh-start-redirect.md,"the surviving diagnosis (what is gated happens) is carried separately via docs/intent.md §4, not from here",enumerator read first ~8 lines of each at caa6cd2,docs/planning/2026-08-30-fresh-start-redirect.md,resolved:the fresh-start redirect replaces the incremental in-place legibility work with a full rebuild,False,False,False,,"OD-21's 'how' — a per-repo packet decomposition (~26 packets, 4 waves) plus a website-based review-surface mechanism, built for the two-boot-venue model (fleet-manager in the cloud, an OneDrive local hub). Superseded in direction by the 2026-08-30 fresh-start redirect, which replaced incremental in-place legibility with a full rebuild; the control-plane-website mechanism was never ruled on by the owner and is not part of the 2026-09-01 decided structure.",area:planning,yes,,docs/current-state.md
"Fleet roster -- retired 2026-08-07, frozen at generation #430",fleet-manager,docs/roster.md,06dbbfe@2026-09-04,OWNER,hub,archive/,archive_only,False,,,enumerator full read of docs/roster.md,,none,False,True,False,,"roster.md is retired per an owner-verbatim ruling ('Yes retire the roster, I don't need it'), frozen at generation #430 with zero LIVE rows across 31 measured lanes, and records its own two mis-computed distribution banners as a lesson: the instrument worked, the question stopped existing. Pure record of a topology that no longer exists.",area:run1-four-areas,yes,,docs/current-state.md
Fleet-wide owner click lists from the seat era (2026-07-17 / 2026-07-18),fleet-manager,docs/owner-steps-2026-07-18.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read both files in full (244 and 181 lines) including banners and EXECUTED/APPENDIX close-outs,,none,False,False,False,,"docs/owner-steps-2026-07-18.md and docs/owner-actions-2026-07-17.md are single-sitting, fully-executed snapshots of owner clicks across the closed multi-seat fleet. Both open with a self-demotion banner naming docs/owner-queue.md as the one live surface, and owner-queue.md's § Context names owner-actions-2026-07-17.md explicitly: 'must not be used as live action lists.'",area:run1-four-areas,yes,,docs/current-state.md
Game Community Bot pre-repository plan (8 files),fleet-manager,docs/planning/2026-08-21-game-community-bot/,caa6cd2; README header re-read at 7ccc88a; current-state.md lines 107-112,MEASURED,spider-bot,archive/,archive_only,False,docs/repos/spider-bot/README.md | docs/ESTATE.md,"canonical product truth has moved to the spider-bot repository; carrying it into the hub would duplicate product truth, which the rule forbids",read docs/planning/2026-08-21-game-community-bot/README.md lines 1-14 at 7ccc88a; the other 7 files not individually opened,,none,False,True,False,,Authoritative pre-repository product plan for the Discord bot. Its own header limits its authority to 'until its own repository exists' and says that when the repo is created the plan is copied into it and this folder 'becomes a dated pointer rather than a second product source of truth.' That condition fired 2026-08-24: menno420/spider-bot exists and is live on Railway. The folder still carries no supersession banner.,area:planning,yes,,docs/current-state.md
Gen-2 (born-right) Project seed standard,fleet-manager,docs/gen2-blueprint.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read docs/gen2-blueprint.md lines 1-100,,none,False,True,False,,"gen2-blueprint.md's 2026-08-11 era note says its seat births, Project creations, Custom-Instruction pastes and wake routines are record, not procedure, and that no session executes them; its eight citations of playbook R21 are doubly dead (R21 superseded 2026-07-11, that superseding clause reversed 2026-07-18/19 by R30).",area:run1-four-areas,yes,,docs/current-state.md
