# A1 citation rows — built by scorer from inputs/maps/agent-A1.md; pin = pins/pinA
# columns: agent-section	file	range	needle
A1-EST	docs/planning/2026-07-26-consolidation-program.md	26	frozen as the behavioral oracle (recorded 2026-07-17)
A1-EST	docs/planning/2026-07-26-consolidation-program.md	44	One bot, one repo
A1-EST	docs/planning/2026-07-26-consolidation-program.md	109	R4
A1-EST	docs/planning/2026-07-26-consolidation-program.md	112	R7
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	8-14	disbanding or rebuilding the project and plans multiple independent reviews
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	8-14	server bot carrying no game features
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	316-351	no game features
A1-EST	docs/findings/2026-08-05-playtest-discord-and-superbot-value.md	171-180	noise
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	209-227	genuinely better-founded
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	209-227	640 real buttons
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	44-115	CAPTURE-WORLD LITERAL
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	44-115	static data presented as live system state
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	119-138	photographs
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	229-314	navigation graph
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	229-314	zero buttons
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	374-394	read the code and skipped both repositories' required boot files
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	353-372	harness question
A1-EST	docs/findings/2026-08-05-superbot-next-live-audit.md	402-425	recipe
A1-EST	.claude/CLAUDE.md	17-25	docs/owner-queue.md
A1-EST	.claude/CLAUDE.md	27-31	Live vs historical
A1-EST	docs/AGENT_ORIENTATION.md	8-12	current-state
A1-EST	docs/current-state.md	213-218	read this if you read nothing else
A1-EST	docs/reading-path.md	11-27	attach + clone remains the path for deep/audit work in a sibling
A1-EST	docs/CAPABILITIES.md	879-887	Nothing restricts a session to the repo it was launched for
A1-EST	docs/CAPABILITIES.md	695-700	wake
A1-EST	docs/findings/2026-08-05-playtest-discord-and-superbot-value.md	116-129	reliable-grace
A1-EST	docs/findings/2026-08-05-playtest-discord-and-superbot-value.md	116-129	disbot/config.py
A1-EST	docs/findings/2026-08-05-playtest-discord-and-superbot-value.md	135-143	archived=false
A1-EST	docs/findings/2026-08-05-playtest-discord-and-superbot-value.md	196-229	routing
A1-EST	docs/fleet-account-2026-07-26.md	40-46	session card
A1-EST	docs/fleet-account-2026-07-26.md	23-26	maintainer-question-router
A1-EST	docs/conventions/vertex-first-for-gemini.md	3-8	at least
A1-EST	docs/conventions/vertex-first-for-gemini.md	37-45	GEMINI_API_KEY_PAID
A1-EST	docs/conventions/vertex-first-for-gemini.md	47-115	aiplatform.googleapis.com
A1-EST	docs/decisions.md	21-39	D-0011
A1-EST	docs/decisions.md	21-39	Pro-model review
A1-EST	docs/findings/2026-08-05-gemini-delegation.md	34-48	verbatim
A1-EST	docs/findings/2026-08-05-gemini-delegation.md	18-24	gemini-3.1-pro-preview
A1-EST	docs/findings/2026-08-05-gemini-delegation.md	18-24	250
A1-EST	docs/providers/gemini.md	443-455	Deep Research
A1-EST	docs/findings/README.md	30	URL
A1-EST	CONSTITUTION.md	49-60	A record is a claim
A1-EST	docs/fleet-account-2026-07-26.md	8-12	agent-written distortions
A1-EST	docs/owner-reflection-2026-07-21.md	215-218	verification, not more shipping
A1-EST	docs/owner-reflection-2026-07-21.md	227-230	highest-value
A1-EST	docs/owner-reflection-2026-07-21.md	125-139	Decide, don't default to asking
A1-EST	CONSTITUTION.md	63-98	flag
A1-EST	README.md	3-6	records
A1-EST	docs/findings/README.md	1-8	archivable chat
A1-EST	docs/decisions.md	41-55	publish
A1-EST	CONSTITUTION.md	18-23	fragments
A1-DER	docs/findings/2026-08-05-playtest-discord-and-superbot-value.md	196-243	command_routing
A1-DER	docs/findings/2026-08-05-playtest-discord-and-superbot-value.md	196-243	command_access
A1-DER	docs/conventions/vertex-first-for-gemini.md	47-115	gemini-3.1-pro-preview
A1-DER	docs/conventions/vertex-first-for-gemini.md	1-50	251.37
A1-OPEN	docs/providers/gemini.md	443-446	Deep Research
A1-NG	docs/findings/2026-08-05-playtest-discord-and-superbot-value.md	267-271	Do not deploy superbot-next
A1-NG	.claude/CLAUDE.md	22-23	re-derive
A1-MTM	.claude/CLAUDE.md	17-31	read path
A1-MTM	docs/AGENT_ORIENTATION.md	8-12	orientation
A1-MTM	docs/SKILLS.md	31	analysis
A1-MTM	docs/SKILLS-local.md	55	delegate-read
A1-MTM	docs/fleet-account-2026-07-26.md	23-26	fleet-grounding
A1-MTM	CONSTITUTION.md	24-27	capability-probe
A1-MTM	docs/SKILLS-local.md	56	owner-brief
A1-MTM	docs/SKILLS-local.md	44-46	prompt-preflight
A1-MTM	docs/SKILLS.md	25	intake
