repo	branch	baseline_commit	live_commit	commits_since	delta_status	evidence_ref	prior_certainty	note
Substrate-kit-app	main	ffd452451d05@recorded@2026-08-22T00:00:00Z	ffd452451d05@2026-08-23T07:01:03Z	0	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
codetool-lab-fable5	main	e615b375be92@recorded@2026-08-22T00:00:00Z	e615b375be92@2026-08-23T07:02:18Z	0	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
codetool-lab-opus4.8	main	59f0b82fef8f@recorded@2026-08-22T00:00:00Z	59f0b82fef8f@2026-08-23T07:02:20Z	0	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
codetool-lab-sonnet5	main	ef3b60097f6a@recorded@2026-08-22T00:00:00Z	ef3b60097f6a@2026-08-23T07:02:15Z	0	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
couch-legend	main	d877ed0b6114@recorded@2026-08-22T00:00:00Z	254531ba23e1@2026-09-04T18:36:58Z	4	CHANGED_REAUDIT	repos/couch-legend/README.md	MEASURED	
creator-kit	main	741f429a2e96@recorded@2026-08-26T00:00:00Z	741f429a2e96@2026-08-25T21:16:27Z	0	UNCHANGED_REUSABLE	findings/2026-08-26-cross-session-visibility.md	WEAK	
curious-research	main	353cb4d035f4@recorded@2026-08-22T00:00:00Z	353cb4d035f4@2026-08-07T19:02:31Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
estate-backups	main	c1439abb3597@recorded@2026-08-23T00:00:00Z	c1439abb3597@2026-08-20T22:34:31Z	0	UNCHANGED_REUSABLE	findings/2026-08-23-active-repo-intent-audit.md	UNRATED	
fleet-manager	main	caa6cd2ab659@recorded@2026-09-01T00:00:00Z	17a532bc319a@2026-09-04T19:02:10Z	20	CHANGED_REAUDIT	findings/2026-09-01-fleet-manager-measured.md	MEASURED	
gba-homebrew	main	7a4977bb06fc@recorded@2026-08-22T00:00:00Z	7a4977bb06fc@2026-08-14T05:58:15Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
idea-engine	main	df6b027372b0@recorded@2026-08-22T00:00:00Z	df6b027372b0@2026-08-23T08:53:34Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
pokemon-mod-lab	main	086dde68d5e2@recorded@2026-08-22T00:00:00Z	086dde68d5e2@2026-07-21T18:07:39Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
product-forge	main	7a53b2667b29@recorded@2026-08-23T00:00:00Z	7a53b2667b29@2026-08-20T20:06:39Z	0	UNCHANGED_REUSABLE	findings/2026-08-23-active-repo-intent-audit.md	UNRATED	
proxybench	main	88d5d1723561@recorded@2026-08-22T00:00:00Z	88d5d1723561@2026-08-23T07:01:04Z	0	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
shiftlife	main	33d9064b376f@recorded@2026-08-22T00:00:00Z	33d9064b376f@2026-07-27T21:11:05Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
sim-lab	main	72ed751e657e@recorded@2026-08-22T00:00:00Z	72ed751e657e@2026-08-23T17:01:25Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
spider-bot	main	bf4d75278a74@recorded@2026-08-28T00:00:00Z	ee243fd870fa@2026-09-04T19:02:39Z	27	CHANGED_REAUDIT	repos/spider-bot/README.md	MEASURED	
spider-swing	main	fc64a3fbb25f@recorded@2026-08-28T00:00:00Z	dffb8f5b89c3@2026-09-04T16:31:14Z	1	CHANGED_REAUDIT	repos/spider-swing/README.md	MEASURED	
substrate-kit	main	ff06fb902c69@recorded@2026-08-28T00:00:00Z	6a82288e9e81@2026-09-04T12:30:02Z	2	CHANGED_REAUDIT	findings/2026-08-28-kit-tree-truth-pass.md	MEASURED	
superbot	main	5e3a667b2a55@recorded@2026-08-21T00:00:00Z	5e3a667b2a55@2026-08-20T23:17:52Z	0	UNCHANGED_REUSABLE	repos/superbot/README.md	MEASURED	
superbot-games	main	c3b2e83d9189@recorded@2026-08-22T00:00:00Z	c3b2e83d9189@2026-08-23T07:00:51Z	0	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
superbot-idle	main	0062182c28c3@recorded@2026-08-22T00:00:00Z	0062182c28c3@2026-08-23T07:01:08Z	0	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
superbot-mineverse	main	0bcb864dde06@recorded@2026-08-22T00:00:00Z	0bcb864dde06@2026-08-23T07:02:59Z	0	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
superbot-next	main	d5f66dc27768@recorded@2026-08-21T00:00:00Z	d5f66dc27768@2026-08-13T15:21:11Z	0	UNCHANGED_REUSABLE	repos/superbot-next/README.md	MEASURED	
superbot-plugin-hello	main	abd91334dc55@recorded@2026-08-22T00:00:00Z	abd91334dc55@2026-07-15T15:29:41Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
trading-strategy	main	54e1461232de@recorded@2026-08-22T00:00:00Z	54e1461232de@2026-08-23T07:01:11Z	0	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
venture-lab	main	a7220b1d348a@recorded@2026-08-21T00:00:00Z	a7220b1d348a@2026-08-13T18:58:29Z	0	UNCHANGED_REUSABLE	repos/venture-lab/README.md	MEASURED	
websites	main	48b75de8fd30@recorded@2026-09-03T00:00:00Z	48b75de8fd30@2026-09-03T20:49:56Z	0	UNCHANGED_REUSABLE	repos/websites/README.md	MEASURED	
