subject	source_repo	survives	disposition	certainty	provenance_shape	verification_shape	verification_sha	verification_sha_date	sha_on_default_branch	live_sha	live_sha_date	repo_delta_status	repo_commits_since	row_status	paths_checked	note
AGENT_ORIENTATION.md -- seat-era task router, superseded by CLAUDE.md	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/AGENT_ORIENTATION.md=UNCHANGED	
AgentContextPack index (project.index.json)	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	7d99f7d2f020d10b7230cb9f0970b5ec72691dbe	2026-08-29T15:42:51Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	project.index.json=UNCHANGED	
CAPABILITIES.md's dated append log and seat-era mirrored-lane findings	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/CAPABILITIES.md=MOVED	
EAP final-week (2026-07-09 to 07-16) dated trackers, audits and logs -- 15 files	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/eap-story.md=UNCHANGED	
ESTATE.md's archive-vs-delete reasoning and GitHub code-search coverage investigation	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/ESTATE.md=MOVED	
Estate execution packets and the legibility-and-intent plan (2026-08-26)	fleet-manager	yes	archive_only	MEASURED	paths:2	sha-only	caa6cd2ab6591794258b68b3c385a8378a55c8d3	2026-09-03T21:42:38Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-26-estate-execution-packets.md=UNCHANGED | docs/planning/2026-08-26-legibility-and-intent-plan.md=UNCHANGED	
Fleet roster -- retired 2026-08-07, frozen at generation #430	fleet-manager	yes	archive_only	OWNER	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/roster.md=UNCHANGED	
Fleet-wide owner click lists from the seat era (2026-07-17 / 2026-07-18)	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/owner-steps-2026-07-18.md=UNCHANGED	
Game Community Bot pre-repository plan (8 files)	fleet-manager	yes	archive_only	MEASURED	path	sha-only	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/planning/2026-08-21-game-community-bot/=MOVED	several SHAs; the latest-dated is the verification point
Gen-2 (born-right) Project seed standard	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/gen2-blueprint.md=UNCHANGED	
Generated idea backlog (docs/planning/idea-backlog.md)	fleet-manager	no	archive_only	REVIEWED	narration	narration						CHANGED_REAUDIT	20	UNCHECKABLE:no-path-in-source_path		
Hand-maintained top-level docs map (docs/MAP.md)	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/MAP.md=UNCHANGED	
Independent confirmation that the per-repo-folder and owner-comments patterns 'worked' and should generalise	fleet-manager	no	archive_only	REVIEWED	narration	narration						CHANGED_REAUDIT	20	UNCHECKABLE:no-path-in-source_path		
