# Per-file gists — the one-line description each READ AGENT returned for each file
# it opened. This is the evidence of reading (a wc/head pass cannot produce it);
# the fingerprints in ../coverage-ledger.tsv are the evidence of access.
# path	batch	gist
.claude/CLAUDE.md	b01	The auto-loaded hub boot file: boot triad, cold-orientation triad, the ordered deep read path (entries 0,1,2,2b,3,4,5), working style, capabilities essentials, task→skill routing table, precedence and session-close rules.
.claude/hooks/README.md	b01	Narrative reference for the hooks directory — grew from a doc-routing-only page into sections on owner_review.py, read_before_write.py, change_guard.py and trigger_tools_guard.py, each carrying its measurement history and pipe-test recipes; git_state_guard.py is absent.
.claude/hooks/change_guard.py	b01	Advisory PreToolUse+PostToolUse hook with three checks: A kit-skill amendment warning (staged .substrate/skills), B GFM orphan-table-row detection, C post-edit verbatim-shingle hunt for un-propagated text; fail-open on every path.
.claude/hooks/doc-routes.json	b01	The route table consumed by route_docs.py — 24 routes (20 default probe routes, 1 content route, 2 spider-swing, 1 error-review prompt route), each with id / when regexes / docs / a `says` sentence, plus a long _comment block stating the bar for adding routes.
.claude/hooks/git_state_guard.py	b01	Advisory PreToolUse Bash hook computing three git facts at the moment of the command: squash-merged-branch continuation, the tree comparison that is the real pre-force-push check, and the tracked files a `reset --hard` is about to destroy.
.claude/hooks/owner_review.py	b01	The Stop hook: extracts the final assistant reply from the transcript, always blocks once with a fixed provenance question, and optionally enriches it with Gemini questions (free AI Studio key first, Vertex/service-account JWT fallback); fail-open with KeyboardInterrupt/SystemExit re-raised.
.claude/hooks/read_before_write.py	b01	Advisory PreToolUse hook that records paths named in read-tool inputs and warns when a Write/Edit describes a path never fetched; also carries two closed-vocabulary checks (Status badge tokens, PL-004 Model-line task classes) sourced live from substrate.config.json / bootstrap.py.
.claude/hooks/route_docs.py	b01	The doc-routing matcher for PreToolUse and UserPromptSubmit: picks the haystack per tool (prompt is a top-level key on UserPromptSubmit), matches doc-routes.json regexes once per route per session, and injects doc paths plus the `says` line as additionalContext.
.claude/hooks/trigger_tools_guard.py	b01	The estate's only denying hook: DENIES mcp__*__delete_trigger (escape hatch FM_ALLOW_TRIGGER_DELETE=1), warns once on send_later, and warns per-command on Bash text shaped like a direct-API trigger deletion, with quoted-heredoc stripping that is skipped when an interpreter consumes the heredoc.
.claude/settings.json	b01	Repo-local Claude Code settings: 12 pre-approved mcp__github__* permissions, and hook registrations — five PreToolUse blocks (route_docs, read_before_write, git_state_guard, change_guard, trigger_tools_guard), one Stop (owner_review), one UserPromptSubmit (route_docs), one PostToolUse (change_guard).
.claude/skills/analysis/SKILL.md	b01	A three-line kit-shipped skill stub: read-only investigation, produce file:line evidence plus a conclusion, name the uncertainty, change nothing.
.claude/skills/asset-pipeline/SKILL.md	b01	The post-generation art pipeline: key by corner sample, despill at full resolution with the channel clamp, LANCZOS downscale to contract size, three-scale fringe audit with a zero bar, source record, in-engine verification, plus the acceptance question and four traps.
.claude/skills/audio-prompt/SKILL.md	b01	The audio member of the asset skill family: spider-swing's measured delivery contract (mono 44.1k/16-bit, sub-0dBFS with 3ms fades, mathematically continuous loops, manifest), Route A procedural generator vs Route B unmeasured AI generation, three acceptance questions and four traps.
.claude/skills/capability-probe/SKILL.md	b01	The method for turning "can I do X" into a ledger fact: five ordered probe steps (ledger, environment, one real attempt, positive control, one-refusal-is-not-a-wall), the CAPABILITIES.md append format, and four traps that each cost a session.
.claude/skills/chase-references/SKILL.md	b01	Kit-shipped Q-0273 seed skill: inventory every reference in an ask, resolve each by type (path, fuzzy doc, sibling repo, PR number, router ID), treat an unfound reference as a search task, and state the assembled picture back before working.
.claude/skills/continuation-prompt/SKILL.md	b01	How to turn a planning chat into a handoff prompt: run prompt-preflight, harvest decided/rejected/open/owner-stated, offer to commit via decision-capture, emit the fixed prompt shape with the mandatory BEFORE YOUR FIRST TOOL CALL restate block, the comprehension exception, surface adaptation and five traps.
.claude/skills/cover-art-prompt/SKILL.md	b02	Type skill layered on image-prompt for full-bleed cover art / key art / icons / banners: no chroma, composition brief, silhouette read, per-use geometry, fill-the-CAPS skeleton.
.claude/skills/decision-capture/SKILL.md	b02	Method for converting chat-only decisions into a committed dated+authority-labelled record so handoff prompts become pointers; five steps plus traps.
.claude/skills/deep-research/SKILL.md	b02	Four-line stub skill: fan out web research, cross-check adversarially, flag uncertainty, synthesize a cited report.
.claude/skills/delegate-read/SKILL.md	b02	How to hand a read-heavy corpus job to Gemini via tools/gemini_delegate.py with mechanical citation verification; 'delegate the reading, never the record' plus quota/fabrication traps.
.claude/skills/image-prompt/SKILL.md	b02	The shared eight-section method for any image-generation prompt, with routing to sprite/parallax/cover-art skills and the chroma/despill/no-upscale hard rules.
.claude/skills/implementation-prompt/SKILL.md	b02	How to write a build-this prompt: contract table (built/not built/acceptance/rejected), point-at-patterns, the mandatory BEFORE-YOUR-FIRST-TOOL-CALL block, and a fenced prompt template.
.claude/skills/intake/SKILL.md	b02	Turns a fragmented owner ask into a seven-part provenance-separated intent map with LOW/MEDIUM/HIGH classification and an INTENT STATUS verdict; rewritten 2026-08-09 to kill the fused 'fuller picture' paragraph.
.claude/skills/owner-brief/SKILL.md	b02	Produces the owner's plain-language status brief in three strict sections (LANDED / YOUR EYES / NEXT) with no technical vocabulary, PR numbers, or paths in the body.
.claude/skills/parallax-prompt/SKILL.md	b02	Type skill on image-prompt for parallax background layers: one layer per call, far opaque / mid+near on magenta chroma, depth as detail contrast, centre stays open for gameplay.
.claude/skills/prep-owner-steps/SKILL.md	b02	Owner-directed (Q-0273) method for handing the owner finished steps — deep links, paste-ready fenced blobs, his path walked once, batched to one sitting — with a fleet-manager venue note demoting control/ to historical.
.claude/skills/prompt-preflight/SKILL.md	b02	The four preflight checks before writing any session prompt (verify state at HEAD, split repo-vs-chat, read surface constraints, define done) plus the STATE/POINT AT/CARRY/OMIT output note.
.claude/skills/quality-gate/SKILL.md	b02	Four-line pre-push verification stub naming bootstrap.py check --strict plus a separate check_no_false_walls.py run; carries a stale 'nothing in CI runs it' parenthetical.
.claude/skills/question/SKILL.md	b02	Three-line read-only stub: answer a direct fleet-manager question from current-state plus one source, cite it, change nothing.
.claude/skills/rationalize/SKILL.md	b02	The natural-pause checkpoint (Q-0273): two questions — should this action be executed now, does this lesson deserve a permanent home — plus a six-row routing table from surfaced-thing to home.
.claude/skills/release/SKILL.md	b02	Eight-step runbook for cutting and publishing a substrate-kit release (bump PR born-red, workflow_dispatch publish, three-way sha256 proof, adopter wave); explicitly kit-repo-scoped, with a fleet-manager control/ venue note.
.claude/skills/repo-health/SKILL.md	b02	Three-line stub: run bootstrap.py check, summarize doc/session-log drift, fix the small ones and capture the rest as ideas.
.claude/skills/review/SKILL.md	b02	Four-line stub for reviewing the branch diff against binding contracts and producing an approve/request-changes verdict without editing.
.claude/skills/scope-backlog-item/SKILL.md	b02	Turns a raw backlog item into a turnkey recipe, six-field owner ask, dead disposition or split; five steps including the badge-token/reachability/docs-gate traps and a control/status.md baton retarget under a historical-venue note.
.claude/skills/session-close/SKILL.md	b02	The full landing runbook — born-red card first, READY PR, Layer-2 handoff line, one strict verify command, the Codex re-review loop capped at two rounds, flip complete last.
.claude/skills/sprite-prompt/SKILL.md	b02	Type skill on image-prompt for character/object sprites: the set's committed contract outranks the prompt, anchor-and-exclude, enumerate parts by position, chroma by palette, neutral stance only.
.claude/skills/upgrade-distribution/SKILL.md	b02	Eight-step runbook for rolling one substrate-kit release into fleet-manager: download, sha256 three-way, born-red PR, banked rollback, carve-out scan, tree-verified merge.
.gitattributes	b02	Three-line kit-planted file marking the vendored bootstrap.py and .substrate/backup/** as linguist-generated.
.github/workflows/merge-on-green.yml	b02	Host-owned auto-merge sweep: an inline Python job that walks open READY claude/* PRs, applies label/workflow-diff/in-progress-card carve-outs, requires every head-SHA check run green (minus self and retired names), then squash-merges pinned to the verified SHA.
.github/workflows/roster-freshness.yml	b02	Retired 2026-08-07 roster staleness gate — pull_request trigger removed, workflow_dispatch kept and made unconditionally blocking after Codex found the head_ref branch was empty on dispatch.
.github/workflows/roster-regen.yml	b02	Retired 2026-08-07 roster regeneration workflow (both crons removed, workflow_dispatch kept) that runs gen_roster.py from the committed triggers snapshot and lands the result via a bot/roster-regen PR.
.github/workflows/substrate-gate.yml	b02	The kit-owned required status check on main: control fast lane, inbox append-only gate, claims-only guard (with a host env-var carve-out against branch-name shell injection), the doc-routes/no-false-walls checker step, the diff-based born-red session-card gate, and the verify suite.
.gitignore	b03	Git ignore list: python/venv/OS cruft, *.log, tmp-triggers.json, plus an annotated 2026-08-05 entry ignoring the kit-regenerated HANDOFF.md.
.ignore	b03	Ripgrep search-hygiene file planted by substrate-kit; excludes the vendored /bootstrap.py and /.substrate/backup/ from repo-wide searches.
.session-journal.md	b03	Substrate-kit's cross-session 'process memory' guidebook — still the unmodified template: all five sections are empty parenthetical placeholders.
.sessions/2026-07-09-ci-tier-standard.md	b03	Seat-era session card: landed the 3-tier CI doctrine (simulator, findings doc, gen2-blueprint §2b, smoke.yml template) backed by a 144-cell discrete-event sim.
.sessions/2026-07-09-game-lab-founding.md	b03	Seat-era session card: six-artifact founding package for the two-track GBA game-lab venture (toolchain findings, gba-lab archetype, founding prompt, idea file, owner-queue click-list).
.sessions/2026-07-09-gen1-winddown-prompt.md	b03	Seat-era session card: shipped the universal gen-1 to gen-2 wind-down prompt (7 succession deliverables) plus playbook R20 (unacknowledged mid-flight scope = undelivered).
.sessions/2026-07-09-housekeeping-verification.md	b03	Seat-era session card: read-only verification sweep of every afternoon dispatch against live GitHub (found an ORDER-number collision and a missing ORDER 005) plus a dispatch-log/owner-queue refresh.
.sessions/2026-07-09-ideas-r21-handoff.md	b03	Seat-era session card: captured 9 owner-session ideas, minted playbook R21 (REST merge-on-green is the primary landing path on born-red/no-CI repos), updated handoff + dispatch log.
.sessions/2026-07-09-merge-authority-env-archetypes.md	b03	Seat-era session card: three owner directives in one PR — gen-2 self-merge authority, the ≤4 environment archetypes with tested setup scripts, and a live-verified merge queue.
.sessions/2026-07-09-ping-ack-gen2-finalization.md	b03	Seat-era session card: 9-lane ping-ack latency sweep (2/9 acked), gen2-blueprint finalized plan to binding with the measured §2a wake cadence, venture-lab founding text finalized.
.sessions/2026-07-09-seed-home-repo.md	b03	The repo's very first session card: seeded fleet-manager (playbook v1, owner queue, dispatch log, control heartbeat) and adopted substrate-kit v1.4.0.
.sessions/2026-07-09-succession-package.md	b03	Seat-era session card: committed the manager's full chat-only context before archive — docs/prompts ledger, five findings, the gen-2 blueprint draft, the gen-1 handoff, playbook R19.
.sessions/2026-07-10-archive-prep.md	b03	Seat-era session card: gen-2 to gen-3 succession package (docs/handoff-2026-07-10.md), a capabilities WALLED append about the private-plan auto-merge toggle, and two dispatch-log entries.
.sessions/2026-07-10-chain-order-009-010.md	b03	Seat-era session card: continuation-chain slice #2 — generated roster v1 (17 rows) from per-lane heartbeats plus the ORDER 010 fleet model-attribution matrix.
.sessions/2026-07-10-chain-slice-4.md	b03	Seat-era session card: chain slice #4 — found the @codex quota refusal landed 7s after the question, banked manager ground truth against websites source instead, groomed the review queue.
.sessions/2026-07-10-chain-slice-5-sbgames16-verify.md	b03	Seat-era session card: chain slice #5 — manager-verified superbot-games#16 CONFIRMED-STILL-BROKEN and corrected the stale fix pointer (a kit upgrade had relocated the pytest step to tests.yml).
.sessions/2026-07-10-chain-slice-6-sbgames5-verify.md	b03	Seat-era session card: chain slice #6 — coverage-scoped superbot-games#5 (15/19 modules collected) and recorded the owner-authored UNIVERSAL.md v3 permissions grant landing.
.sessions/2026-07-10-coordinator-boot.md	b03	Seat-era session card: coordinator seat boot — armed the 2-hourly standing wake trigger with a verbatim arming record, appended ORDER 007, overwrote control/status.md.
.sessions/2026-07-10-custom-instructions-full-paste.md	b03	Seat-era session card: implemented the owner ruling that Custom Instructions stay a full per-repo paste (UNIVERSAL.md v2 restructure); the universal pointer survives only as the wake prompt.
.sessions/2026-07-10-fable5-review-landing.md	b03	Seat-era session card: landed the Fable-5 fleet review synthesis — 30 confirmed findings with P1–P11 blueprint proposals, 10 PROPOSED instruction packages, 3 new ideas.
.sessions/2026-07-10-kit-upgrade-v1.7.1.md	b03	Seat-era session card: sha256-verified substrate-kit v1.7.0 to v1.7.1 upgrade, first live carve-out-detector exercise, plus a landing note recording a suspected workflow-file CI-trigger wall.
.sessions/2026-07-10-kit-upgrade-v170.md	b03	Seat-era session card: substrate-kit v1.4.0 to v1.7.0 distribution upgrade, live gate refresh, docs/CAPABILITIES.md first plant, with three lane-owed follow-ups left by scope fence.
.sessions/2026-07-10-launch-readiness-heartbeat.md	b03	Seat-era session card: one-file control/status.md heartbeat closing the launch-readiness pass, with routing outcomes and a re-derive-numbers-at-HEAD warning after two relays turned MOOT.
.sessions/2026-07-10-launch-readiness.md	b03	Seat-era session card: compiled five research reports into docs/launch-readiness-2026-07-10.md (13 seat sections, 38 OWNER-CLICK / 11 DECISION / 47 AGENT-DOABLE) plus owner-queue additions.
