repo	branch	baseline_commit	live_commit	commits_since	delta_status	evidence_ref	prior_certainty	note
Substrate-kit-app	main	86a8501d5c3c@2026-08-04T17:28:13Z	ffd452451d05@2026-08-23T07:01:03Z	1	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
codetool-lab-fable5	main	7bd6307a2274@2026-07-18T08:38:52Z	e615b375be92@2026-08-23T07:02:18Z	2	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
codetool-lab-opus4.8	main	2071c7b4b0c1@2026-07-18T08:38:41Z	59f0b82fef8f@2026-08-23T07:02:20Z	1	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
codetool-lab-sonnet5	main	420c6580eadc@2026-07-18T08:38:26Z	ef3b60097f6a@2026-08-23T07:02:15Z	1	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
couch-legend	main	43bc12865786@2026-08-21T22:40:56Z	d877ed0b6114@2026-08-23T10:00:25Z	5	CHANGED_REAUDIT	repos/couch-legend/README.md	MEASURED	
creator-kit	main	741f429a2e96@2026-08-25T21:16:27Z	741f429a2e96@2026-08-25T21:16:27Z	0	UNCHANGED_REUSABLE	findings/2026-08-26-cross-session-visibility.md	WEAK	
curious-research	main	353cb4d035f4@2026-08-07T19:02:31Z	353cb4d035f4@2026-08-07T19:02:31Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
estate-backups	main	c1439abb3597@2026-08-20T22:34:31Z	c1439abb3597@2026-08-20T22:34:31Z	0	UNCHANGED_REUSABLE	findings/2026-08-23-active-repo-intent-audit.md	UNRATED	
fleet-manager	main	23a6b56e6a8e@2026-08-31T21:35:41Z	caa6cd2ab659@2026-09-03T21:42:38Z	23	CHANGED_REAUDIT	findings/2026-09-01-fleet-manager-measured.md	MEASURED	
gba-homebrew	main	7a4977bb06fc@2026-08-14T05:58:15Z	7a4977bb06fc@2026-08-14T05:58:15Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
idea-engine	main	320acabd9317@2026-08-13T19:17:55Z	df6b027372b0@2026-08-23T08:53:34Z	1	CHANGED_REAUDIT	planning/2026-08-22-repo-dispositions.md	MEASURED	
